qID,dataset,video,_video_key,_source,timestamp_start,question,answer,answer_format,_subtmpl,_bin,fold
heico__1230748,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:37:46,How many different foreign object classes appear in this frame? Please provide a number.,3,number,n_classes,3,1.0
heico__1232033,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,01:03:18,How many Sponges appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,1.0
heico__1233106,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:41:07,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,1.0
heico__1232685,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:29:23,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,1.0
heico__1229989,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,01:28:39,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,1.0
heico__1230073,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:45:39,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,1.0
heico__1230175,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:40:10,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,1.0
heico__1229963,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:38:23,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,1.0
heico__1230757,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,01:28:38,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,1.0
heico__1230699,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:44:54,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,1.0
heico__1230358,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:41:17,How many different foreign object classes appear in this frame? Please provide a number.,3,number,n_classes,3,1.0
heico__1232178,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,01:09:24,How many Sponges appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,1.0
heico__1232714,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:29:53,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,1.0
heico__1233029,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:48:12,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,1.0
heico__1230109,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,01:32:12,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,1.0
heico__1230026,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:42:44,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,1.0
heico__1230126,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:44:53,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,1.0
heico__1230283,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:48:02,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,1.0
heico__1230569,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,01:32:45,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,1.0
heico__1230806,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:54:46,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,1.0
heico__1230353,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:37:48,How many different foreign object classes appear in this frame? Please provide a number.,3,number,n_classes,3,1.0
heico__1231877,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,01:32:57,How many Sponges appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,1.0
heico__1233039,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:54:46,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,1.0
heico__1232681,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:29:19,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,1.0
heico__1230302,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,01:55:46,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,1.0
heico__1230191,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:45:36,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,1.0
heico__1230276,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:43:32,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,1.0
heico__1230111,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:47:48,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,1.0
heico__1230700,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,01:59:19,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,1.0
heico__1230363,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:44:41,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,1.0
heico__1230406,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:48:06,How many different foreign object classes appear in this frame? Please provide a number.,3,number,n_classes,3,1.0
heico__1232022,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,02:01:37,How many Sponges appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,1.0
heico__1233102,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:40:10,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,1.0
heico__1232917,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:47:47,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,1.0
heico__1229956,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,02:41:42,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,1.0
heico__1230052,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:47:24,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,1.0
heico__1230262,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:45:11,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,1.0
heico__1230127,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:37:43,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,1.0
heico__1230311,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:00:19,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,1.0
heico__1230767,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:44:47,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,1.0
heico__1230381,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:43:34,How many different foreign object classes appear in this frame? Please provide a number.,3,number,n_classes,3,1.0
heico__1231946,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,02:59:52,How many Sponges appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,1.0
heico__1232689,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:29:27,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,1.0
heico__1232692,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:29:30,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,1.0
heico__1230033,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:24:07,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,1.0
heico__1230099,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:41:01,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,1.0
heico__1230084,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:43:33,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,1.0
heico__1230273,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:41:11,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,1.0
heico__1230738,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:22:23,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,1.0
heico__1230725,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:54:40,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,1.0
heico__1230484,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:37:50,How many different foreign object classes appear in this frame? Please provide a number.,3,number,n_classes,3,1.0
heico__1232038,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:25:01,How many Sponges appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,1.0
heico__1233035,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:54:42,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,1.0
heico__1232695,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:47:57,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,1.0
heico__1230125,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:39:35,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,1.0
heico__1229838,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:37:24,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,1.0
heico__1229974,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:44:45,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,1.0
heico__1230308,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:40:58,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,1.0
heico__1230498,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:44:14,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,1.0
heico__1230387,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:48:09,How many different foreign object classes appear in this frame? Please provide a number.,3,number,n_classes,3,1.0
heico__1233562,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:45:19,How many Silicone loops appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,1.0
heico__1233076,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,03:37:34,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,1.0
heico__1232690,heico,0011 - Heico - Rektum - 2.avi,heico/0011 - Heico - Rektum - 2.avi,train_92,00:29:28,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,1.0
heico__1342724,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:24:28,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,1.0
heico__1342767,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:25:11,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,1.0
heico__1342927,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:40:53,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,1.0
heico__1342939,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:41:10,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,1.0
heico__1343403,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:28:27,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,1.0
heico__1343278,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:25:22,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,1.0
heico__1343365,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:37:13,How many different foreign object classes appear in this frame? Please provide a number.,3,number,n_classes,3,1.0
heico__1343603,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:22:50,How many different foreign object classes appear in this frame? Please provide a number.,4,number,n_classes,4,1.0
heico__1346017,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:26:17,How many Silicone loops appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,1.0
heico__1345267,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:25:23,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,1.0
heico__1345285,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:40:52,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,1.0
heico__1345293,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:41:00,How many Clips appear in this frame? Please provide a number.,4,number,n_instances_per_class,4,1.0
heico__1342922,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:40:31,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,1.0
heico__1342938,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:41:09,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,1.0
heico__1343173,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:16:39,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,1.0
heico__1342973,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:36:20,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,1.0
heico__1343443,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:41:14,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,1.0
heico__1343672,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:16:38,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,1.0
heico__1343596,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:22:39,How many different foreign object classes appear in this frame? Please provide a number.,3,number,n_classes,3,1.0
heico__1343380,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:22:57,How many different foreign object classes appear in this frame? Please provide a number.,4,number,n_classes,4,1.0
heico__1345277,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:40:27,How many Clips appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,1.0
heico__1345305,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:41:36,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,1.0
heico__1345606,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,03:05:22,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,1.0
heico__1345294,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:41:01,How many Clips appear in this frame? Please provide a number.,4,number,n_instances_per_class,4,1.0
heico__1343023,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:12:34,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,1.0
heico__1342923,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:22:24,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,1.0
heico__1342707,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:25:05,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,1.0
heico__1343051,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:23:36,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,1.0
heico__1343491,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:02:40,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,1.0
heico__1343638,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:28:58,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,1.0
heico__1343571,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:36:25,How many different foreign object classes appear in this frame? Please provide a number.,3,number,n_classes,3,1.0
heico__1343297,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:22:52,How many different foreign object classes appear in this frame? Please provide a number.,4,number,n_classes,4,1.0
heico__1346293,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:15:58,How many Silicone loops appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,1.0
heico__1345311,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:16:38,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,1.0
heico__1345287,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:40:54,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,1.0
heico__1345299,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:41:11,How many Clips appear in this frame? Please provide a number.,4,number,n_instances_per_class,4,1.0
heico__1342792,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:17:08,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,1.0
heico__1342961,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:38:14,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,1.0
heico__1343150,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:36:11,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,1.0
heico__1342708,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,03:05:12,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,1.0
heico__1343591,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:27:37,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,1.0
heico__1343277,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:36:02,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,1.0
heico__1343356,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:23:37,How many different foreign object classes appear in this frame? Please provide a number.,3,number,n_classes,3,1.0
heico__1346317,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:26:37,How many Silicone loops appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,1.0
heico__1345426,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:29:12,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,1.0
heico__1345559,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,03:02:56,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,1.0
heico__1345300,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:41:12,How many Clips appear in this frame? Please provide a number.,4,number,n_instances_per_class,4,1.0
heico__1342829,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:37:02,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,1.0
heico__1342857,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:09:14,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,1.0
heico__1343004,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:23:11,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,1.0
heico__1342904,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:36:27,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,1.0
heico__1343423,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:37:36,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,1.0
heico__1343536,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:09:16,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,1.0
heico__1343344,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:37:08,How many different foreign object classes appear in this frame? Please provide a number.,3,number,n_classes,3,1.0
heico__1346129,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:37:23,How many Silicone loops appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,1.0
heico__1345469,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,01:36:37,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,1.0
heico__1345291,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:40:58,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,1.0
heico__1345295,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:41:02,How many Clips appear in this frame? Please provide a number.,4,number,n_instances_per_class,4,1.0
heico__1343060,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:09:54,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,1.0
heico__1342937,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:23:20,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,1.0
heico__1342723,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,03:05:09,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,1.0
heico__1342819,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:22:46,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,1.0
heico__1343405,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:08:54,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,1.0
heico__1343563,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:23:28,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,1.0
heico__1343301,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:22:30,How many different foreign object classes appear in this frame? Please provide a number.,3,number,n_classes,3,1.0
heico__1346187,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:09:52,How many Silicone loops appear in this frame? Please provide a number.,1,number,n_instances_per_class,1,1.0
heico__1345528,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:23:29,How many Clips appear in this frame? Please provide a number.,2,number,n_instances_per_class,2,1.0
heico__1345553,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,03:02:50,How many Clips appear in this frame? Please provide a number.,3,number,n_instances_per_class,3,1.0
heico__1345292,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:40:59,How many Clips appear in this frame? Please provide a number.,4,number,n_instances_per_class,4,1.0
heico__1342719,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:24:20,How many different foreign object instances appear in this frame? Please provide a number.,1,number,n_instances_total,1,1.0
heico__1342828,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,03:03:02,How many different foreign object instances appear in this frame? Please provide a number.,2,number,n_instances_total,2,1.0
heico__1342929,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,00:40:55,How many different foreign object instances appear in this frame? Please provide a number.,3,number,n_instances_total,3,1.0
heico__1342705,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,03:05:08,How many different foreign object instances appear in this frame? Please provide a number.,4,number,n_instances_total,4,1.0
heico__1343395,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,02:26:07,How many different foreign object classes appear in this frame? Please provide a number.,1,number,n_classes,1,1.0
heico__1343535,heico,0012 - Heico - Rektum - 3.avi,heico/0012 - Heico - Rektum - 3.avi,train_92,03:05:14,How many different foreign object classes appear in this frame? Please provide a number.,2,number,n_classes,2,1.0
