answer_format,n,n_distinct_answers,trivial_floor,modal_answer,template
open_ended,1,1,1.0,Lower left abdominal quadrant.,In which abdominal quadrant is the external drain located before becoming not visible for 
open_ended,1,1,1.0,Small pelvis.,In which abdominal quadrant is the external drain located before becoming not visible for 
open_ended,1,1,1.0,Lower left abdominal quadrant.,In which abdominal quadrant is the external drain located before becoming not visible for 
open_ended,1,1,1.0,(small) pelvis.,In which abdominal quadrant is the external drain located before being not visible for >1 
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the specimen bag located before it is not visible for >1 mi
open_ended,1,1,1.0,(small) pelvis.,In which abdominal quadrant is the sponge located before being not visible for more than 1
open_ended,1,1,1.0,(small) pelvis.,In which abdominal quadrant is the sponge located before being not visible for more than 1
open_ended,1,1,1.0,Small pelvis.,In which abdominal quadrant is the sponge located before being not visible for more than 1
open_ended,1,1,1.0,Small pelvis.,In which abdominal quadrant is the sponge located before being not visible for more than 1
open_ended,1,1,1.0,(Small) pelvis.,In which abdominal quadrant is the sponge located before disappearing for >1 minute in the
open_ended,1,1,1.0,Small pelvis.,In which abdominal quadrant is the sponge located before disappearing for more than 1 minu
open_ended,1,1,1.0,Small pelvis.,In which abdominal quadrant is the sponge located before disappearing for over 1 min in th
open_ended,1,1,1.0,Small pelvis.,In which abdominal quadrant is the sponge located before disappearing for over 1 min? Plea
open_ended,1,1,1.0,small pelvis.,In which abdominal quadrant is the sponge located before disappearing for over 1 minute? P
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the gallstone located before it is not visible for >1 min? 
open_ended,1,1,1.0,(small) pelvis.,In which abdominal quadrant is the sponge located before becoming not visible for more tha
open_ended,1,1,1.0,Lower left abdominal quadrant.,In which abdominal quadrant is the sponge located before becoming not visible for more tha
open_ended,1,1,1.0,Small pelvis.,In which abdominal quadrant is the sponge located before becoming not visible for more tha
open_ended,1,1,1.0,Lower left abdominal quadrant.,In which abdominal quadrant is the sponge located before becoming not visible for more tha
open_ended,1,1,1.0,Lower right abdominal quadrant.,In which abdominal quadrant is the sponge located before becoming not visible for over 1 m
open_ended,1,1,1.0,Lower right abdominal quadrant.,In which abdominal quadrant is the sponge located before becoming not visible for over a m
open_ended,1,1,1.0,Lower left abdominal quadrant.,In which abdominal quadrant is the sponge located before being not visible for >1 min in t
open_ended,1,1,1.0,(small) pelvis.,In which abdominal quadrant is the sponge located before being not visible for >1 min? Ple
open_ended,1,1,1.0,Lower left abdominal quadrant.,In which abdominal quadrant is the sponge located before being not visible for >1 min? Ple
open_ended,1,1,1.0,Lower left abdominal quadrant.,In which abdominal quadrant is the sponge located before being not visible for >1 min? Ple
open_ended,1,1,1.0,Small pelvis.,In which abdominal quadrant is the sponge located before becoming not visible for more tha
open_ended,1,1,1.0,specimen.,"In this frame, which foreign object class is partially occluded or not fully visible due t"
open_ended,1,1,1.0,Small pelvis.,In which abdominal quadrant is the External Drain located before being not visible for >1 
open_ended,1,1,1.0,Lower right abdominal quadrant.,In which abdominal quadrant is the Silicone Loop located before becoming not visible for o
open_ended,1,1,1.0,Lower left abdominal quadrant.,In which abdominal quadrant is the Silicone Loop located before being not visible for >1 m
open_ended,1,1,1.0,Lower left abdominal quadrant.,In which abdominal quadrant is the external drain located before becoming not visible for 
binary,1,1,1.0,yes,Do External drains and Specimen bags co-occur in this frame? Please answer with yes or no.
binary,1,1,1.0,yes,Do Gallstones and Specimen bags co-occur in this frame? Please answer with yes or no.
binary,1,1,1.0,no,Do Gallstones and Specimens co-occur in this frame? Please answer with yes or no.
open_ended,1,1,1.0,Ureter.,Which structure is the silicone loop in contact with before disappearing for over a minute
open_ended,1,1,1.0,Small pelvis.,In which abdominal quadrant is the external drain located before being not visible for >1 
open_ended,1,1,1.0,Liver.,Which structure is the specimen bag in contact with before it is no longer visible for >1 
open_ended,1,1,1.0,Mesorectum.,Which structure is the sponge in contact with before becoming invisible for over 1 minute?
open_ended,1,1,1.0,Transverse colon.,Which structure is the sponge in contact with before being not visible for >1 min? Please 
open_ended,1,1,1.0,Rectum.,Which structure is the sponge in contact with before being not visible for more than 1 min
open_ended,1,1,1.0,Rectal stump.,Which structure is the sponge in contact with before being not visible for over 1 minute? 
open_ended,1,1,1.0,Rectal stump.,Which structure is the sponge in contact with before disappearing for >1 min in this video
open_ended,1,1,1.0,Small intestine.,Which structure is the sponge in contact with before disappearing for >1 minute in the vid
open_ended,1,1,1.0,Sacrum.,Which structure is the sponge in contact with before disappearing for >1 minute in this vi
open_ended,1,1,1.0,Mesentery.,Which structure is the sponge in contact with before disappearing for >1 minute? Please pr
open_ended,1,1,1.0,Cystic duct.,Which structure is the silicone loop in contact with before it is no longer visible for >1
open_ended,1,1,1.0,Lower left abdominal quadrant.,In which abdominal quadrant is the external drain located before being not visible for >1 
open_ended,1,1,1.0,Small pelvis.,In which abdominal quadrant is the external drain located before being not visible for mor
open_ended,1,1,1.0,(small) pelvis.,In which abdominal quadrant is the external drain located before disappearing for >1 min? 
open_ended,1,1,1.0,Lower right abdominal quadrant.,In which abdominal quadrant is the external drain located before disappearing for over a m
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the gallstone located before it becomes not visible for >1 
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the gallstone located before it is no longer visible for >1
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the gallstone located before it is no longer visible for >1
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the gallstone located before it is no longer visible for >1
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the gallstone located before it is no longer visible for >1
open_ended,1,1,1.0,gallbladder — transection — clip.,"In frame <TS>, where should transection be performed relative to the clip and the gallblad"
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the gallstone located before it is no longer visible for >1
open_ended,1,1,1.0,Rectum.,Which structure is the sponge in contact with before disappearing for over 1 min? Please p
open_ended,1,1,1.0,Mesorectum.,With which single structure is the sponge in contact before disappearing for over a minute
open_ended,1,1,1.0,3.,How many foreign objects in frame <TS> should be removed by the end of the video? Please p
open_ended,1,1,1.0,2.,How many foreign objects in frame <TS> should be removed from the body by the end of the v
open_ended,1,1,1.0,4.,How many of the clips placed in this video will be present on a postoperative X-ray? Pleas
open_ended,1,1,1.0,6.,How many radiopaque clips are visible in this video? Please provide a single integer.
open_ended,1,1,1.0,3.,How many total clips are visible in this frame? Please provide a single integer.
open_ended,1,1,1.0,Intestine: 1.,How many vascular clips are applied in the direction of the intestine? Please provide a si
open_ended,1,1,1.0,2.,How many vascular clips are applied in the direction of the mesenteric root? Please provid
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the gallstone located before it is no longer visible for >1
open_ended,1,1,1.0,Right upper quadrant.,From which quadrant of the abdomen is the sponge present in this frame? Please answer with
open_ended,1,1,1.0,Right upper quadrant.,From which quadrant of the abdomen was the specimen retrieved immediately prior to being i
open_ended,1,1,1.0,0.,How many blood-soaked surgical sponges are visible in this frame? Please provide a single 
open_ended,1,1,1.0,Yes.,Is the needle in this frame currently grasped by an instrument? Please answer with 'yes' o
open_ended,1,1,1.0,No.,Is the silicone loop in this frame grasped by an instrument? Please answer with 'yes' or '
open_ended,1,1,1.0,No.,Is the specimen bag in this frame grasped by an instrument? Please answer with 'yes' or 'n
open_ended,1,1,1.0,Yes.,Is the specimen currently grasped by an instrument in this frame? Please answer with 'yes'
open_ended,1,1,1.0,Perirectal fat.,Is the sponge in contact with any additional structures before disappearing for >1 min? Pl
open_ended,1,1,1.0,Silicone loop.,Is there another foreign object partially occluded by an anatomical structure in this fram
open_ended,1,1,1.0,(small) pelvis.,In which abdominal quadrant is the sponge located before being not visible for more than 1
open_ended,1,1,1.0,"cystic artery, cystic duct.",On what structures are the clips in this frame? Please provide exactly two anatomical stru
open_ended,1,1,1.0,No.,One specimen is visible in this frame. Is it currently grasped by an instrument? Please an
open_ended,1,1,1.0,Yes.,One specimen is visible in this frame. Is this foreign object currently being grasped by a
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is no longer visible for >1 mi
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is not visible for >1 min? Ple
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is not visible for >1 min? Ple
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is not visible for >1 min? Ple
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is not visible for >1 min? Ple
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is not visible for >1 min? Ple
open_ended,1,1,1.0,Mesorectum.,On what general anatomic structure is the clip in this frame? Please provide a general ana
open_ended,1,1,1.0,No.,There is one external drain visible in this frame. Is this foreign object currently being 
open_ended,1,1,1.0,Specimen bag drawstring.,There is one silicone loop visible in this frame. Is this foreign object currently grasped
open_ended,1,1,1.0,No.,There is one specimen bag visible in this frame. Is this object currently being grasped by
open_ended,1,1,1.0,Yes.,There is one specimen visible in this frame. Is this foreign object currently grasped by a
open_ended,1,1,1.0,No.,There is one specimen visible in this frame. Is this specimen currently being grasped by a
open_ended,1,1,1.0,Liver.,What adjacent anatomical structure is the external drain placed next to? Please provide a 
open_ended,1,1,1.0,The silicone loop.,What are the clips placed on? Please provide the name of a foreign object or anatomical st
open_ended,1,1,1.0,specimen.,What distinct foreign objects are inserted into the specimen bag (excluding clips)? Please
open_ended,1,1,1.0,Specimen bag.,What foreign object class is not fully visible due to an anatomical structure? Please prov
open_ended,1,1,1.0,The cystic duct.,From which anatomical structure is the gallstone extracted? Please provide a single anatom
open_ended,1,1,1.0,No.,The visible specimen is shown. Is it currently grasped by an instrument? Please answer wit
open_ended,1,1,1.0,No.,There is a specimen visible in this frame. Is this foreign object currently grasped by an 
open_ended,1,1,1.0,Yes.,There is an external drain visible in this frame. Is this foreign object currently grasped
open_ended,1,1,1.0,yes.,Does the foreign object shown in this frame remain intra-abdominal at the end of the proce
open_ended,1,1,1.0,Liver.,From behind which organ was the specimen retrieved immediately before being placed in the 
open_ended,1,1,1.0,Liver.,From behind which organ was the specimen retrieved immediately prior to being placed in th
open_ended,1,1,1.0,Liver.,From behind which organ was the specimen retrieved immediately prior to being placed in th
open_ended,1,1,1.0,Liver.,From behind which organ was the specimen retrieved immediately prior to being placed in th
open_ended,1,1,1.0,Liver.,From behind which organ was the specimen retrieved immediately prior to being placed in th
open_ended,1,1,1.0,Liver.,From behind which organ was the specimen retrieved immediately prior to being placed in th
open_ended,1,1,1.0,Liver.,Which single structure is the sponge in contact with before it is no longer visible for >1
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is no longer visible for >1 mi
open_ended,1,1,1.0,(Small) pelvis.,In which abdominal quadrant is the sponge located before it becomes invisible for >1 min? 
open_ended,1,1,1.0,(small) pelvis.,In which abdominal quadrant is the sponge located before it becomes invisible for >1 minut
open_ended,1,1,1.0,(small) pelvis.,In which abdominal quadrant is the sponge located before it becomes invisible? Please prov
open_ended,1,1,1.0,upper right.,In which abdominal quadrant is the sponge located before it is no longer visible for >1 mi
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is no longer visible for >1 mi
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is no longer visible for >1 mi
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is no longer visible for >1 mi
open_ended,1,1,1.0,upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is no longer visible for >1 mi
open_ended,1,1,1.0,Small pelvis.,In which abdominal quadrant is the sponge located? Please provide an anatomical location.
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is no longer visible for >1 mi
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is no longer visible for >1 mi
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is no longer visible for >1 mi
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is no longer visible for >1 mi
open_ended,1,1,1.0,"2, 1.",How many clips are placed proximally and distally on the nonvascular structure? Please ans
open_ended,1,1,1.0,Lower left abdominal quadrant.,In which abdominal quadrant is the sponge located before being not visible for >1 min? Ple
open_ended,1,1,1.0,Lower left abdominal quadrant.,In which abdominal quadrant is the sponge located before being not visible for >1 minute? 
open_ended,1,1,1.0,Small pelvis.,In which abdominal quadrant is the sponge located before being not visible for >1 minute? 
open_ended,1,1,1.0,Small pelvis.,In which abdominal quadrant is the sponge located before being not visible for >1 minute? 
open_ended,1,1,1.0,(Small) pelvis.,In which abdominal quadrant is the sponge located before being not visible for >1 minute? 
open_ended,1,1,1.0,Upper right abdominal quadrant.,In which abdominal quadrant is the sponge located before it is no longer visible for >1 mi
open_ended,1,1,1.0,Small pelvis.,In which abdominal quadrant is the sponge located? Please provide an anatomical quadrant.
open_ended,1,1,1.0,Small pelvis.,In which pelvic region is the specimen bag located in this video? Please provide an anatom
open_ended,1,1,1.0,Small pelvis.,In which quadrant is this sponge located? Please provide an anatomical region.
open_ended,1,1,1.0,Left lower abdominal quadrant.,In which quadrant is this sponge? Please provide an anatomical quadrant.
open_ended,1,1,1.0,Yes.,Is the external drain in this frame currently grasped by an instrument? Please answer with
open_ended,1,1,1.0,no.,Is the external drain visible in this frame being grasped by an instrument? Please answer 
open_ended,1,1,1.0,No.,Is the external drain visible in this frame grasped by an instrument? Please answer with '
open_ended,1,1,1.0,"2,1.",How many clips are placed proximally and distally on the nonvascular structure? Please pro
open_ended,1,1,1.0,"1,1.",How many clips are placed proximally and distally on the nonvascular structure? Please pro
open_ended,1,1,1.0,One.,How many clips visible in frame <TS> are visible in a radiograph? Please provide a single 
open_ended,1,1,1.0,"2, 1.",How many clips are placed proximally and distally on the vascular structure? Answer as two
open_ended,1,1,1.0,"2, 1.",How many clips are placed proximally and distally on the vascular structure? Answer as two
open_ended,1,1,1.0,"2,1.",How many clips are placed proximally and distally on the vascular structure? Please answer
open_ended,1,1,1.0,"1, 1.",How many clips are placed proximally and distally on the vascular structure? Please answer
open_ended,1,1,1.0,"2, 1.",How many clips are placed proximally and distally on the vascular structure? Please answer
open_ended,1,1,1.0,"1, 1.",How many clips are placed proximally and distally on the vascular structure? Please answer
open_ended,1,1,1.0,6.,How many clips are radiopaque in this video? Please provide a single integer corresponding
open_ended,1,1,1.0,Two.,How many clips have been placed on the silicone loop? Please provide a single integer.
open_ended,1,1,1.0,3.,How many clips in this video frame remain intra-abdominally at the end of the procedure? P
open_ended,1,1,1.0,1.,How many clips remain on the specimen side of the cystic duct? Please provide a single int
open_ended,1,1,1.0,"2,1.",How many clips are placed proximally and distally on the nonvascular structure? Please pro
